id1,id2,name1,name2,match_type,match,predicted_match1,predicted_match2,predicted_match3,predicted_match_merged
https://walmart.com/ip/Lysol-Disinfecting-Wipes-Lemon-Lime-Blossom-Flatpack-80-ct-Pack-of-6/660256513,https://www.amazon.com/dp/B09RN9X6K1,Lysol Disinfecting Wipes - Lemon & Lime Blossom Flatpack 80 ct. (Pack of 6),LYSOL Disinfecting Wipes - Lemon & Lime Blossom Flatpack 80 ct. (Pack of 2),match,1,1,1,0,1
https://walmart.com/ip/8pcs-Flamingo-Pattern-Ice-Cream-Paper-Bowls-Yogurt-Bowls-Ice-Cream-Paper-Bowls-Party-Supplies/1705691905,https://www.amazon.com/dp/B09Y5J2ZJB,8pcs Flamingo Pattern Ice Cream Paper Bowls Yogurt Bowls Ice Cream Paper Bowls Party Supplies,Hemoton 8pcs Paper Ice Cream Cups Dessert Bowls Flamingo Pattern Party Supplies Treat Cups Parfait Appetizer Cups Pudding Portion Cups for Yogurt,match,1,1,1,1,1
https://walmart.com/ip/Arm-Hammer-Moisture-Absorber-Refills-Fragrance-Free-14-oz-2-Pack/1374223626,https://www.amazon.com/dp/B01KYZ13TM,"Arm & Hammer Moisture Absorber Refills Fragrance Free, 14 oz., 2 Pack",Arm & Hammer Fragrance Free Disposable Moisture Absorber and Odor Eliminator 14 oz. Tub,close_nonmatch,0,0,0,0,0
https://walmart.com/ip/Bissell-Double-Action-Brush-Roll-for-Select-Upright-Vacuums-1611231/938131313,https://www.amazon.com/dp/B08XJT1CG8,"Bissell Double Action Brush Roll for Select Upright Vacuums, 1611231","Replacement Part For Bissell Gray Brushroll for Bissell 1813, 1819, 1820 Vacuum Cleaner # compare to part 1611230",close_nonmatch,0,0,0,0,0
https://walmart.com/ip/BISSELL-MYair-Plus-for-rooms-up-to-100-sq-ft-3179A/786485097,https://www.amazon.com/dp/B093ZDWCQ5,"BISSELL MYair Plus, for rooms up to 100 sq. ft., 3179A","BISSELL MYair Pro Air Purifier with HEPA Filter for Small Room and Home, Quiet Air Cleaner for Allergens, Pets, Dust, Dander, Pollen, Smoke, Hair, Odors, 3139A , White",close_nonmatch,0,0,0,0,0
https://walmart.com/ip/Bounce-Fabric-Softener-Dryer-Sheet-Outdoor-Fresh-2-X-160-Ct/541877401,https://www.amazon.com/dp/B07C6LZ1GZ,Bounce Fabric Softener Dryer Sheet Outdoor Fresh (2 X 160 Ct.),"Bounce Fabric Softener and Dryer Sheets,Outdoor Fresh,60 Count (2 Pack)",match,1,0,0,0,0
https://walmart.com/ip/Clorox-Hideaway-Bowl-Brush-and-Holder-with-Base/432294935,https://www.amazon.com/dp/B00R55CIRQ,Clorox Hideaway Bowl Brush and Holder with Base,"Clorox Under-Rim Toilet Bowl Brush with Corner Storage Caddy, 16"" x 5"" x 5.5""",match,1,0,0,0,0
https://walmart.com/ip/Clorox-Hideaway-Bowl-Brush-and-Holder-with-Base/432294935,https://www.amazon.com/dp/B07F4DTH5J,Clorox Hideaway Bowl Brush and Holder with Base,"Clorox Under the Rim Toilet Bowl Brush, Gray",close_nonmatch,0,0,0,0,0
https://walmart.com/ip/Clorox-Pool-and-Spa-XtraBlue-Chlorinating-Tablets-35-lb/207270537,https://www.amazon.com/dp/B00PZZFHDU,Clorox Pool and Spa XtraBlue Chlorinating Tablets 35 lb,"Clorox Pool&Spa XtraBlue 3"" Long Lasting Chlorinating Tablets 35 lb",match,1,1,1,1,1
https://walmart.com/ip/Clorox-Pool-and-Spa-XtraBlue-Chlorinating-Tablets-35-lb/207270537,https://www.amazon.com/dp/B0B86TQ6WX,Clorox Pool and Spa XtraBlue Chlorinating Tablets 35 lb,"Clorox Pool&Spa XtraBlue 3"" Long Lasting Chlorinating Tablets 35 lb & Green Algae Eliminator2 32 oz",close_nonmatch,0,0,0,0,0
